"SOURCE","TARGET","tweet_number"
"LauraZaiko","CNN",94286
"PlexusAxon","canucklaw1",94289
"mento7370","darkjournalist",94292
"Synthia06992982","GOVUK",94295
"Knox64Knox","cynthiamckinney",94297
"HMellerick","fionamflanagan1",94298
"HMellerick","ReverieAbsinthe",94298
"HMellerick","Independent_ie",94298
"Gilly_Bean42","DerekSloanCPC",94299
"Gilly_Bean42","99freemind",94300
"ZfR1p","SPhilip18",94301
"Ebbadebah","YouTube",94303
"NeensCa","DrButtar",94313
"Gemini728616565","glesgarangers17",94315
"Gemini728616565","garethicke",94315
"esther61425975","KAG45Patriot",94318
"esther61425975","DeborahJoBrand1",94318
"Valarie75185021","scott_cb",94319
"theMechaniQ","canucklaw1",94322
"ConservIndy","jsolomonReports",94325
"Glory53848843","jkenney",94327
"Glory53848843","jkenney",94328
"chuckfox","YouTube",94331
"francesloverly","Matthew_4_Trump",94332
"francesloverly","Rabbittgirl",94332
